iter	Passed	Remaining
0	1	1784
1	3	1611
2	4	1605
3	10	2558
4	10	2168
5	11	1903
6	13	1887
7	16	1986
8	17	1913
9	18	1848
10	19	1797
11	21	1742
12	22	1709
13	23	1681
14	25	1653
15	26	1625
16	27	1599
17	28	1576
18	30	1559
19	31	1542
20	32	1526
21	34	1523
22	35	1520
23	37	1506
24	38	1498
25	39	1481
26	40	1469
27	42	1458
28	43	1452
29	44	1451
30	46	1438
31	47	1431
32	48	1423
33	49	1414
34	50	1405
35	52	1403
36	53	1398
37	54	1391
38	56	1383
39	57	1377
40	58	1371
41	59	1365
42	61	1360
43	62	1358
44	63	1353
45	64	1347
46	66	1344
47	67	1339
48	71	1393
49	73	1389
50	74	1387
51	75	1385
52	77	1378
53	78	1373
54	79	1368
55	81	1366
56	82	1366
57	83	1359
58	85	1356
59	86	1352
60	87	1349
61	88	1344
62	90	1348
63	91	1341
64	93	1339
65	94	1334
66	95	1330
67	97	1329
68	98	1325
69	99	1323
70	100	1316
71	106	1369
72	107	1364
73	108	1360
74	110	1361
75	111	1359
76	113	1355
77	114	1353
78	114	1338
79	115	1326
80	117	1330
81	119	1334
82	120	1331
83	121	1328
84	123	1325
85	124	1322
86	125	1319
87	126	1313
88	127	1308
89	129	1307
90	130	1304
91	131	1301
92	133	1298
93	134	1294
94	135	1291
95	136	1288
96	138	1287
97	139	1284
98	140	1281
99	142	1278
100	143	1275
101	144	1272
102	145	1269
103	147	1272
104	148	1269
105	150	1267
106	151	1263
107	152	1261
108	159	1302
109	160	1297
110	161	1296
111	165	1312
112	165	1300
113	167	1299
114	168	1298
115	169	1294
116	171	1293
117	172	1292
118	173	1284
119	175	1286
120	176	1283
121	177	1280
122	179	1278
123	180	1274
124	181	1271
125	182	1269
126	184	1266
127	185	1263
128	186	1261
129	188	1260
130	189	1259
131	190	1252
132	192	1252
133	193	1250
134	195	1249
135	196	1246
136	198	1247
137	198	1241
138	198	1231
139	199	1225
140	200	1218
141	200	1212
142	201	1205
143	205	1223
144	207	1221
145	209	1224
146	210	1221
147	211	1214
148	211	1208
149	211	1200
150	212	1194
151	212	1187
152	213	1181
153	213	1175
154	214	1169
155	215	1163
156	215	1156
157	215	1150
158	216	1145
159	216	1139
160	217	1133
161	218	1127
162	218	1122
163	219	1116
164	219	1109
165	219	1104
166	220	1098
167	220	1093
168	221	1088
169	221	1082
170	222	1077
171	222	1072
172	223	1068
173	223	1063
174	224	1058
175	225	1053
176	225	1048
177	226	1044
178	226	1040
179	227	1035
180	227	1030
181	228	1026
182	228	1022
183	229	1017
184	229	1013
185	230	1008
186	231	1004
187	231	999
188	232	995
189	232	991
190	233	987
191	233	983
192	234	979
193	234	975
194	235	971
195	235	967
196	236	963
197	236	959
198	237	955
199	237	951
200	238	947
201	238	944
202	239	940
203	239	936
204	240	932
205	241	929
206	241	925
207	242	922
208	242	918
209	243	915
210	243	911
211	244	908
212	244	904
213	245	901
214	245	897
215	246	894
216	246	890
217	247	887
218	247	884
219	248	880
220	248	877
221	249	874
222	250	871
223	250	868
224	251	865
225	251	862
226	252	858
227	252	855
228	253	852
229	253	849
230	254	846
231	254	843
232	255	840
233	256	839
234	256	836
235	257	833
236	258	831
237	259	831
238	260	828
239	260	826
240	261	823
241	261	820
242	262	817
243	263	815
244	263	812
245	264	809
246	264	806
247	265	806
248	266	803
249	267	801
250	267	798
251	268	795
252	268	793
253	269	791
254	269	788
255	270	786
256	271	783
257	271	781
258	272	778
259	272	776
260	273	773
261	273	771
262	274	770
263	275	768
264	276	766
265	276	763
266	277	761
267	278	759
268	278	757
