estado,municipio,businesses,employees,Payroll,expenditures,income,payroll_employee_day,profits_biz_day,sales_employee_day,employees_unit
Ags,Aguascalientes,11402,120923,4997.813674,129044.6433,159695.334,114.8070736,6249.604612,3668.434872,10.6054201
Ags,Asientos,231,1647,29.09225454,524.8077338,621.0551438,49.06607053,807.5415528,1047.451838,7.12987013
Ags,Calvillo,591,4605,99.34278673,1743.278407,2246.247441,59.92447022,1897.09648,1354.956835,7.791878173
Ags,Cosio,104,468,4.577494784,101.9410478,136.3649484,27.169366,797.1796419,809.3835967,4.5
Ags,El Llano,104,860,14.80227411,342.6305242,427.2916663,47.8109629,1865.888567,1380.141041,8.269230769
Ags,Estatal,15144,150960,5932.00231,158008.8268,195426.5474,109.1533134,5775.246208,3595.995765,9.968304279
Ags,Jesus Maria,1006,10289,537.1700676,19422.89497,23420.03521,145.0227502,9553.706021,6322.835393,10.22763419
Ags,Pabellon de Arteaga,516,3658,86.54749848,1414.891814,1839.272547,65.72162876,1818.654363,1396.689559,7.089147287
Ags,Rincon de Romos,675,4641,80.39997421,2314.67672,3043.69637,48.12179739,2669.216772,1821.743619,6.875555556
Ags,San Francisco de los Romo,277,2449,69.56646944,2727.430722,3518.016184,78.90575455,7230.435145,3990.309179,8.841155235
Ags,San Jose de Gracia,92,615,4.993356719,185.6336437,236.8749303,22.55355338,1396.374694,1069.895801,6.684782609
Ags,Tepezala,139,800,7.6964593,185.9979791,242.358999,26.72381702,972.5132014,841.5243023,5.755395683
BC,Ensenada,4935,52871,1533.832681,47442.43858,56430.29179,80.58569604,4195.666177,2964.778622,10.71347518
BC,Estatal,28461,358386,11156.81991,365599.7239,424895.2047,86.47426633,4698.30654,3293.277241,12.59217877
BC,Mexicali,7423,100567,3180.921732,113062.9791,131499.1678,87.86076645,5708.708301,3632.160312,13.5480264
BC,Playas de Rosarito,979,9897,340.3970004,32622.25885,35558.59835,95.53877168,7365.629609,9980.18433,10.1092952
BC,Tecate,1001,9478,220.9780857,5599.046579,6749.432121,64.76345388,2579.108272,1978.099025,9.468531469
BC,Tijuana,14121,185571,5880.690409,166873.0008,194657.7146,88.02696077,4308.796074,2913.795119,13.1414914
