iter	RMSE
0	265.2156535
1	260.0798462
2	255.2568514
3	250.5385302
4	246.0670627
5	241.4771782
6	237.5459695
7	233.9914035
8	230.3445357
9	226.4203153
10	223.0972198
11	219.8536694
12	216.5764376
13	213.7436394
14	211.1904123
15	208.6955587
16	206.3222196
17	203.8316446
18	201.4196561
19	198.8991289
20	196.6063161
21	194.7775653
22	192.7155964
23	190.8377321
24	189.1885751
25	187.4274576
26	185.8444498
27	184.2661404
28	182.4155645
29	180.8396826
30	179.143366
31	177.6540066
32	176.4862805
33	174.8262106
34	173.4776519
35	172.2176366
36	171.2333151
37	170.226715
38	169.3539754
39	168.178617
40	167.1046344
41	166.1410901
42	165.1728185
43	164.1807461
44	163.1159972
45	162.2420175
46	161.5462572
47	160.7638355
48	160.1168591
49	159.5110839
50	158.7741068
51	157.9904808
52	157.2971611
53	156.7233999
54	156.1140302
55	155.6198565
56	154.7782858
57	154.1668989
58	153.3613859
59	152.7032408
60	152.0771395
61	151.5358853
62	151.0139073
63	150.5972766
64	150.0210596
65	149.5025888
66	149.0679176
67	148.4884063
68	148.218978
69	147.6895584
70	147.2373272
71	146.8255881
72	146.4200112
73	145.9316051
74	145.5817653
75	145.3785209
76	144.9784821
77	144.7953725
78	144.4162531
79	144.1681758
80	143.7060293
81	143.3977952
82	143.0706212
83	142.8089413
84	142.4668384
85	142.1155813
86	141.795682
87	141.4150223
88	141.0356478
89	140.7912504
90	140.5163596
91	140.2900165
92	139.9909363
93	139.6209071
94	139.4297644
95	139.0969428
96	138.7865022
97	138.3668664
98	138.0592668
99	137.7937679
100	137.5517801
101	137.2431343
102	137.0184449
103	136.7136395
104	136.4442527
105	136.2013336
106	136.0023228
107	135.733176
108	135.5306651
109	135.245784
110	135.0691972
111	134.8450543
112	134.673082
113	134.5197645
114	134.2343524
115	133.9489451
116	133.6680366
117	133.3895392
118	133.2548932
119	133.164776
120	132.9941006
121	132.8212181
122	132.5109077
123	132.364122
124	132.1848244
125	131.9318501
126	131.8113991
127	131.6521862
128	131.3146565
129	131.2227866
130	131.0115651
131	130.9046017
132	130.6436795
133	130.5415474
134	130.3446065
135	130.1011843
136	129.9964177
137	129.7965723
138	129.5480814
139	129.3033158
140	129.0910474
141	129.0131021
142	128.9071601
143	128.7561775
144	128.628278
145	128.3819682
146	127.9999158
147	127.729138
148	127.5071576
149	127.4284805
150	127.2064032
151	127.0071763
152	126.8705743
153	126.6951777
154	126.6402089
155	126.4108191
156	126.2360732
157	125.9776916
158	125.9120891
