iter	Passed	Remaining
0	8	8780
1	11	5910
2	12	4192
3	14	3517
4	15	3155
5	16	2711
6	16	2399
7	17	2160
8	17	1975
9	18	1826
10	18	1704
11	19	1602
12	19	1515
13	39	2774
14	45	3003
15	46	2845
16	46	2705
17	47	2580
18	47	2469
19	51	2500
20	51	2403
21	51	2306
22	52	2226
23	52	2152
24	53	2084
25	59	2224
26	61	2228
27	62	2165
28	65	2180
29	65	2122
30	66	2068
31	66	2010
32	66	1962
33	72	2055
34	75	2074
35	75	2029
36	76	1986
37	76	1944
38	77	1904
39	77	1864
40	78	1828
41	78	1794
42	84	1870
43	88	1924
44	89	1898
45	89	1865
46	90	1834
47	90	1804
48	91	1775
49	92	1748
50	92	1721
51	99	1809
52	102	1825
53	105	1845
54	106	1826
55	106	1801
56	107	1776
57	107	1751
58	108	1728
59	108	1705
60	109	1683
61	109	1661
62	115	1711
63	117	1720
64	120	1729
65	120	1709
66	120	1684
67	121	1664
68	121	1645
69	128	1712
70	129	1693
71	129	1674
72	130	1656
73	130	1638
74	131	1621
75	138	1678
76	141	1692
77	142	1681
78	146	1710
79	147	1693
80	147	1676
81	148	1659
82	148	1643
83	149	1627
84	163	1764
85	166	1766
86	166	1748
87	167	1731
88	167	1715
89	168	1699
90	168	1684
91	169	1668
92	178	1745
93	179	1730
94	180	1714
95	180	1699
96	185	1725
97	192	1767
98	192	1751
99	192	1736
100	193	1722
101	193	1707
102	194	1693
103	194	1679
104	195	1665
105	195	1652
106	196	1639
107	207	1716
108	212	1733
109	213	1730
110	214	1717
111	214	1704
112	215	1691
113	215	1678
114	222	1709
115	224	1707
116	225	1699
117	225	1684
118	225	1672
119	226	1660
120	226	1648
121	227	1636
122	227	1625
123	233	1651
124	234	1638
125	234	1626
126	235	1615
127	235	1604
128	235	1592
129	236	1582
130	244	1620
131	245	1611
132	245	1601
133	246	1590
134	250	1604
135	250	1594
136	251	1583
137	251	1573
138	252	1561
139	252	1552
140	253	1542
141	253	1532
142	254	1523
143	254	1513
144	255	1504
145	255	1495
146	266	1548
147	269	1550
148	269	1540
149	270	1531
150	270	1522
151	271	1513
152	274	1519
153	274	1509
154	281	1536
155	282	1526
156	282	1516
157	283	1512
158	285	1507
159	285	1499
160	286	1490
161	286	1482
162	287	1474
163	287	1465
164	288	1457
165	288	1449
166	289	1441
167	289	1433
168	290	1426
169	296	1445
170	299	1452
171	300	1444
172	301	1442
173	304	1444
174	304	1436
175	305	1428
176	305	1420
177	306	1413
178	306	1405
179	307	1398
180	307	1391
181	308	1384
182	308	1376
183	308	1369
184	309	1362
185	319	1397
186	324	1412
187	325	1405
188	326	1402
189	327	1395
190	327	1388
191	328	1381
192	328	1374
193	329	1367
194	336	1389
195	337	1383
196	337	1376
197	338	1369
198	338	1363
199	350	1400
200	353	1403
201	353	1396
202	354	1389
203	354	1383
204	355	1376
205	355	1370
206	356	1363
207	356	1357
208	359	1359
209	362	1362
210	362	1356
211	363	1349
212	363	1343
213	364	1337
214	370	1351
215	372	1351
216	372	1345
217	373	1339
218	373	1333
219	374	1327
220	374	1321
221	375	1315
222	375	1309
223	379	1316
224	383	1320
225	383	1314
226	389	1326
227	389	1320
228	390	1314
229	390	1308
230	391	1303
231	392	1299
232	395	1302
233	397	1301
234	404	1317
235	405	1311
236	405	1306
237	406	1300
238	406	1295
239	407	1289
240	409	1289
241	412	1290
242	412	1285
243	412	1279
244	413	1274
245	413	1268
246	414	1263
247	414	1258
248	422	1274
249	425	1276
250	425	1270
251	426	1265
252	426	1260
253	433	1273
254	433	1267
255	434	1262
256	435	1257
257	435	1252
258	436	1247
259	436	1242
260	441	1248
261	449	1265
262	449	1259
263	450	1254
264	450	1249
265	451	1244
266	451	1239
267	452	1234
268	452	1229
269	453	1225
270	453	1220
271	454	1215
272	459	1222
273	461	1223
274	462	1218
275	467	1227
276	468	1222
277	468	1217
278	469	1212
279	469	1208
280	473	1210
281	473	1205
282	474	1201
283	474	1196
284	475	1191
285	475	1187
286	485	1206
287	487	1205
288	488	1201
289	488	1196
290	489	1192
291	491	1191
292	492	1189
293	493	1184
294	493	1180
295	494	1175
296	494	1171
297	497	1171
298	508	1192
299	509	1187
300	509	1183
301	510	1178
302	510	1174
303	511	1170
304	511	1165
305	512	1161
306	514	1160
307	517	1163
308	520	1164
309	521	1159
310	521	1155
311	522	1151
312	522	1146
313	523	1142
314	523	1138
315	524	1134
316	524	1130
317	537	1151
318	538	1149
319	538	1145
320	539	1140
321	539	1136
322	540	1132
323	543	1134
324	545	1132
325	545	1128
326	546	1124
327	546	1119
328	552	1127
329	555	1127
330	555	1123
331	556	1119
332	556	1115
333	557	1111
334	557	1107
335	558	1103
336	558	1099
337	559	1095
338	566	1104
339	569	1104
340	569	1100
341	570	1096
342	573	1099
343	574	1095
344	574	1091
345	575	1087
346	575	1083
347	576	1079
348	576	1076
349	577	1072
350	577	1068
351	578	1064
352	578	1061
353	593	1083
354	596	1083
355	596	1079
356	597	1076
357	597	1072
358	598	1068
359	599	1066
360	602	1066
361	603	1064
362	604	1060
363	604	1056
364	605	1053
365	605	1049
366	606	1045
367	614	1056
368	618	1057
369	619	1054
370	619	1050
371	620	1046
372	620	1043
373	621	1039
374	621	1035
375	622	1032
376	625	1033
377	627	1033
378	628	1029
379	628	1026
380	629	1022
381	629	1018
382	636	1025
383	637	1022
384	637	1018
385	638	1015
386	638	1011
387	639	1008
388	639	1004
389	652	1020
390	654	1019
391	655	1016
392	655	1012
393	656	1009
394	656	1005
395	657	1002
396	658	1000
397	662	1001
398	662	997
399	663	994
400	663	991
401	664	987
402	664	984
403	665	981
404	674	990
405	676	989
406	676	985
407	677	982
408	677	979
409	678	976
410	678	972
411	679	969
412	679	966
413	680	962
414	680	959
415	693	973
416	694	970
417	694	967
418	695	964
419	695	961
420	696	957
421	699	958
422	700	955
423	701	953
424	702	950
425	703	947
426	703	944
427	704	941
428	704	938
429	706	936
430	707	934
431	708	931
432	708	928
433	709	925
434	713	926
435	713	923
436	726	935
437	726	932
438	727	929
439	729	928
440	731	926
441	732	924
442	732	920
443	732	917
444	733	914
445	733	911
446	742	918
447	744	916
448	745	914
449	746	911
450	746	909
451	747	906
452	748	903
453	754	907
454	755	904
455	756	902
456	758	900
457	759	898
458	760	895
459	760	892
460	761	889
461	761	886
462	762	884
463	762	881
464	763	878
465	765	876
466	765	873
467	766	870
468	770	871
469	770	869
470	771	866
471	771	863
472	772	860
473	772	857
474	775	856
475	777	856
476	779	854
477	780	851
478	780	848
479	781	846
480	781	843
481	782	840
482	782	837
483	783	835
484	783	832
485	784	829
486	785	827
487	785	824
488	786	821
489	787	819
490	787	816
491	788	813
492	788	810
493	789	808
494	790	806
495	792	805
496	795	805
497	797	803
498	798	801
499	798	798
500	799	795
501	799	793
502	804	794
503	804	792
504	805	789
505	807	788
506	808	786
507	813	787
508	820	791
509	821	789
510	822	786
511	822	784
512	823	781
513	823	778
514	824	776
515	824	773
516	825	771
517	825	768
518	827	766
519	827	763
520	828	761
521	829	759
522	829	756
523	830	754
524	830	751
525	831	749
526	831	746
527	832	744
528	832	741
529	833	739
530	833	736
531	834	734
532	834	731
533	835	729
534	835	726
535	836	724
536	837	721
537	837	719
538	838	716
539	838	714
540	839	711
541	839	709
542	840	707
543	840	704
544	841	702
545	841	699
546	842	697
547	842	695
548	843	692
549	843	690
550	844	688
551	844	685
552	845	683
553	845	681
554	846	678
555	846	676
556	847	673
557	847	671
558	848	669
559	848	667
560	849	664
561	849	662
562	850	660
563	850	657
564	851	655
565	852	653
566	852	651
567	853	648
568	853	646
569	854	644
570	854	642
571	855	639
572	855	637
573	856	635
574	858	634
575	858	632
576	859	629
577	859	627
578	860	625
579	860	623
580	861	621
581	861	618
582	862	616
583	862	614
584	863	612
585	863	610
586	864	608
587	870	610
588	871	608
589	871	605
590	878	607
591	878	605
592	879	603
593	879	601
594	880	599
595	880	596
596	881	594
597	881	592
598	882	590
599	882	588
600	883	586
601	883	584
602	887	584
603	888	582
604	890	581
605	890	579
606	895	579
607	895	577
608	896	575
609	897	573
610	897	571
611	898	569
612	898	567
613	899	565
614	903	565
615	903	563
616	904	561
617	905	559
618	905	557
619	906	555
620	909	554
621	909	552
622	910	550
623	914	550
624	914	548
625	915	546
626	915	544
627	916	542
628	918	541
629	919	539
630	919	537
631	921	536
632	921	534
633	922	532
634	922	530
635	923	528
636	923	526
637	928	526
638	929	524
639	930	523
640	936	524
641	937	522
642	937	520
643	938	518
644	938	516
645	939	514
646	940	512
647	940	510
648	941	509
649	946	509
650	946	507
651	947	505
652	947	503
653	948	501
654	948	499
655	949	497
656	950	495
657	955	496
658	955	494
659	956	492
660	956	490
661	957	488
662	957	486
663	958	484
664	959	483
665	966	484
666	966	482
667	967	480
668	968	479
669	968	477
670	969	475
671	969	473
672	970	471
673	970	469
674	971	467
675	971	465
676	976	466
677	977	464
678	978	462
679	978	460
680	979	458
681	979	456
682	980	455
683	980	453
684	981	451
685	981	449
686	986	449
687	986	447
688	987	445
689	987	443
690	990	442
691	990	440
692	992	439
693	993	437
694	993	436
695	994	434
696	994	432
697	1006	435
698	1011	435
699	1012	433
700	1012	432
701	1013	430
702	1013	428
703	1015	426
704	1016	425
705	1016	423
706	1017	421
707	1017	419
708	1018	417
709	1018	416
710	1019	414
711	1025	414
712	1025	412
713	1026	411
714	1026	409
715	1029	408
716	1030	406
717	1030	404
718	1031	402
719	1033	401
720	1033	399
721	1034	398
722	1035	396
723	1036	395
724	1037	393
725	1038	391
726	1038	390
727	1039	388
728	1039	386
729	1040	384
730	1040	382
731	1045	382
732	1046	381
733	1047	379
734	1048	377
735	1048	376
736	1049	374
737	1050	373
738	1051	371
739	1052	369
740	1052	368
741	1056	367
742	1056	365
743	1057	363
744	1058	362
745	1059	360
746	1059	358
747	1060	357
748	1060	355
749	1061	353
750	1061	351
751	1066	351
752	1067	350
753	1068	348
754	1069	347
755	1071	345
756	1072	344
757	1073	342
758	1074	341
759	1075	339
760	1075	337
761	1076	336
762	1076	334
763	1077	332
764	1077	331
765	1078	329
766	1078	327
767	1084	327
768	1085	326
769	1086	324
770	1087	322
771	1087	321
772	1089	319
773	1089	318
774	1090	316
775	1091	314
776	1102	316
777	1103	314
778	1104	313
779	1105	311
780	1106	310
781	1107	308
782	1107	307
783	1108	305
784	1109	303
785	1110	302
786	1111	300
787	1111	299
788	1112	297
789	1112	295
790	1113	294
791	1113	292
792	1114	290
793	1119	290
794	1121	289
795	1121	287
796	1122	285
797	1122	284
798	1123	282
799	1124	281
800	1125	279
801	1125	277
802	1126	276
803	1126	274
804	1127	273
805	1134	273
806	1142	273
807	1143	271
808	1143	270
809	1144	268
810	1144	266
811	1145	265
812	1145	263
813	1146	261
814	1151	261
815	1157	260
816	1157	259
817	1158	257
818	1158	256
819	1159	254
820	1159	252
821	1160	251
822	1160	249
823	1161	248
824	1161	246
825	1172	246
826	1172	245
827	1173	243
828	1173	242
829	1174	240
830	1174	238
831	1175	237
832	1184	237
833	1194	237
834	1197	236
835	1199	235
836	1199	233
837	1200	232
838	1205	231
839	1210	230
840	1210	228
841	1211	227
842	1211	225
